Index,Implementation,Solution,Label,Passes,Duration,Threads,Algorithm,Faithful,Bits,PassesPerSecond
40,zig,3,90-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u32,355527,5.00013,12,base,yes,1,5925.29594
41,mixed,1,ssovest-cgo,28814,5.00033,1,other,no,1,5762.42001
42,lisp,2,mayerrobert-cl-wheel-opt,28503,5.01000,1,wheel,yes,1,5689.22156
43,nim,3,GordonBGood_extreme,27960,5.00014,1,base,yes,1,5591.84232
44,haskell,2,GordonBGood_extreme,27104,5.00001,1,base,yes,1,5420.78712
45,cpp,4,BlackMark-5760of30030-os-hs-inv_bits<u32>-gcc,27053,5.00008,1,wheel,yes,1,5410.51343
46,cpp,4,BlackMark-5760of30030-os-hs-inv_vec<u8>-gcc,26916,5.00007,1,wheel,yes,8,5383.12464
47,zig,3,47-ManDeJan&ityonemo&SpexGuy-zig-single-sieve-u8-92160of510510,26323,5.00010,1,wheel,yes,8,5264.49471
48,cpp,4,BlackMark-5760of30030-os-hs-inv_bits<u32>-clang,26126,5.00017,1,wheel,yes,1,5225.02235
49,julia,4,GordonBGood_extreme,26061,5.00002,1,base,yes,1,5212.17589
50,cpp,4,BlackMark-5760of30030-os-hs-maskedbits<u32>-clang,25799,5.00008,1,wheel,yes,1,5159.71744
51,c,2,danielspaangberg_8of30_owrb,25431,5.00018,1,wheel,yes,1,5086.01487
52,rust,1,mike-barber_bit-striped-hybrid-blocks4k,24781,5.00017,1,base,yes,1,4956.02938
53,go,2,ssovest-go-stride-u32-rblock-16k,24651,5.00098,1,base,yes,1,4929.23352
54,rust,1,mike-barber_bit-striped-blocks16k,24233,5.00009,1,base,yes,1,4846.51126
55,crystal,2,GordonBGood_extreme,24156,5.00007,1,base,yes,1,4831.13623
56,c,2,danielspaangberg_48of210,24042,5.00013,1,wheel,yes,1,4808.27883
57,c,4,merriam,23874,5.00000,1,wheel,yes,1,4774.80000
58,go,2,ssovest-go-stride-u32-block-16k,23770,5.00128,1,base,yes,1,4752.78408
59,lisp,2,mayerrobert-cl-dense,23636,5.01000,1,base,yes,1,4717.76447
60,rust,1,mike-barber_bit-striped-blocks4k,23580,5.00009,1,base,yes,1,4715.91635
61,nim,3,GordonBGood_stride8block-16K,23524,5.00015,1,base,yes,1,4704.65476
